iter	RMSE
486	3.924764551
487	3.921634023
488	3.916057162
489	3.915004488
490	3.911955981
491	3.90935516
492	3.907414007
493	3.905025014
494	3.90129815
495	3.895956023
496	3.895696589
497	3.894062734
498	3.893887742
499	3.892319169
500	3.890303301
501	3.88776625
502	3.883955331
503	3.879862818
504	3.878636955
505	3.875845671
506	3.872784497
507	3.871629758
508	3.870558781
509	3.866992911
510	3.864717035
511	3.863172355
512	3.86053598
513	3.856921103
514	3.856786887
515	3.85412431
516	3.853998107
517	3.850888856
518	3.847689003
519	3.846386247
520	3.842961367
521	3.841478444
522	3.839273249
523	3.83749391
524	3.836377369
525	3.835015558
526	3.834803839
527	3.832936033
528	3.832813322
529	3.830907787
530	3.829332906
531	3.828155754
532	3.82622883
533	3.824484046
534	3.821989383
535	3.820381687
536	3.817357932
537	3.813916597
538	3.812682094
539	3.811048534
540	3.808642875
541	3.805820515
542	3.802507558
543	3.801308068
544	3.797612278
545	3.795289101
546	3.792462095
547	3.792311665
548	3.790577279
549	3.789601224
550	3.788433049
551	3.78699353
552	3.785292353
553	3.783470876
554	3.781334898
555	3.777812441
556	3.775864292
557	3.774653751
558	3.774512993
559	3.772748322
560	3.770309743
561	3.770154144
562	3.766833263
563	3.764794957
564	3.762769211
565	3.761325264
566	3.76089942
567	3.757521874
568	3.755697695
569	3.75500148
570	3.754594087
571	3.751086555
572	3.746184449
573	3.744167544
574	3.742362378
575	3.741173653
576	3.739588265
577	3.735501509
578	3.732980064
579	3.730319962
580	3.729449548
581	3.72881929
582	3.728614494
583	3.727671672
584	3.727480454
585	3.722801057
586	3.719153145
587	3.716436698
588	3.71591304
589	3.714079857
590	3.712472218
591	3.708753824
592	3.704710758
593	3.703443858
594	3.702134237
595	3.702043828
596	3.698709588
597	3.69603077
598	3.692521843
599	3.690674126
600	3.687713977
601	3.685420009
602	3.684553108
603	3.679917082
604	3.678348461
605	3.677115497
606	3.673953249
607	3.669320375
608	3.668655278
609	3.667285803
610	3.66516807
611	3.661825741
612	3.6566609
613	3.654375057
614	3.653208104
615	3.651747007
616	3.648806814
617	3.647727273
618	3.646068375
619	3.644089319
620	3.643108188
621	3.640997902
622	3.637879623
623	3.635547658
624	3.634657529
625	3.632707104
626	3.631672793
627	3.629537523
628	3.628364521
629	3.626846067
630	3.625465875
631	3.623294616
632	3.622095012
633	3.620608061
634	3.618974266
635	3.616374123
636	3.615949781
637	3.615275067
638	3.612936397
639	3.61209535
640	3.610270635
641	3.608172708
642	3.605827682
643	3.605151478
644	3.604348336
645	3.604093713
646	3.601511217
647	3.60113423
648	3.600719842
649	3.599304015
650	3.59657587
651	3.594080726
652	3.589729523
653	3.588689947
654	3.586137673
655	3.585211577
656	3.581297412
657	3.578127196
658	3.575511401
659	3.573527489
660	3.572909917
661	3.572183728
662	3.570950807
663	3.567046957
664	3.56516645
665	3.563062089
666	3.557306652
667	3.556961746
668	3.556339012
669	3.554998055
670	3.553736687
671	3.549659311
672	3.547852912
673	3.545676459
674	3.54508172
675	3.544655462
676	3.54305655
677	3.540691251
678	3.540189819
679	3.539566846
680	3.538232098
681	3.53535619
682	3.533804167
683	3.52947244
684	3.525668932
685	3.525192947
686	3.523988929
687	3.522008896
688	3.520189312
689	3.519149689
690	3.516561289
691	3.515434768
692	3.514889918
693	3.510469496
694	3.510380123
695	3.509195196
696	3.507432219
697	3.504657545
698	3.504578504
699	3.499947735
700	3.496515715
701	3.494615439
702	3.494396741
703	3.493847156
704	3.492039867
705	3.491490038
706	3.490502199
707	3.485185577
708	3.484016356
709	3.483105456
710	3.482026652
711	3.481558176
712	3.480747935
713	3.479641186
714	3.478507636
715	3.47757714
716	3.476168714
717	3.475051842
718	3.472274587
719	3.469058759
720	3.466602297
721	3.465142062
722	3.464077023
723	3.463428582
724	3.460254358
725	3.458239195
726	3.456792697
727	3.45365279
728	3.452839253
729	3.451704729
730	3.450754099
731	3.447733579
732	3.447593067
733	3.444056273
734	3.441770983
735	3.440342469
736	3.437742226
737	3.436218003
738	3.43529309
739	3.432916917
740	3.431824168
741	3.431388753
742	3.429861925
743	3.42907959
744	3.426385522
745	3.425926845
746	3.423259947
747	3.422273428
748	3.420279373
749	3.417012272
750	3.416103796
751	3.413099015
752	3.410011822
753	3.407893169
754	3.405840778
755	3.40441704
756	3.402127564
757	3.401266512
758	3.399504029
759	3.398012069
760	3.39599949
761	3.394049239
762	3.393565416
763	3.393474985
764	3.39253699
765	3.391252275
766	3.390910645
767	3.388398673
768	3.386923689
769	3.386033985
770	3.385606322
771	3.384036018
772	3.381911117
773	3.37985535
774	3.377901957
775	3.377507703
776	3.37571583
777	3.373205914
778	3.371467658
779	3.369265139
780	3.366576698
781	3.365227951
782	3.3647326
783	3.363473917
784	3.36251741
785	3.362421323
786	3.360517837
787	3.360393541
788	3.35923277
789	3.355682508
790	3.35333884
791	3.352830574
792	3.352745869
793	3.351769094
794	3.350789408
795	3.34952514
796	3.346319101
797	3.344694945
798	3.343269538
799	3.341062116
800	3.340599002
801	3.33778943
802	3.335915572
803	3.335858023
804	3.334340558
805	3.331812164
806	3.330804171
807	3.330102978
808	3.328237401
809	3.326905948
810	3.326139234
811	3.324806786
812	3.324335755
813	3.322690679
814	3.321168353
815	3.320492108
816	3.31989192
817	3.318991578
818	3.318329971
819	3.317443552
820	3.314516816
821	3.312502008
822	3.312392405
823	3.311378362
824	3.311189513
825	3.308680417
826	3.307462433
827	3.304476631
828	3.302081967
829	3.301491647
830	3.300086078
831	3.296902693
832	3.295639188
833	3.295489198
834	3.295155145
835	3.294052338
836	3.291428144
837	3.290709398
838	3.290544339
839	3.289975709
840	3.289610004
841	3.287789503
842	3.287183593
843	3.285756578
844	3.285594941
845	3.285219444
846	3.283285402
847	3.283069561
848	3.279804214
849	3.278314181
850	3.277602946
851	3.277432017
852	3.274776401
853	3.27447567
854	3.274369332
855	3.270039549
856	3.268898982
857	3.268268832
858	3.267357814
859	3.266431119
860	3.266084576
861	3.263107634
862	3.261678033
863	3.260384586
864	3.257544533
865	3.257067166
866	3.252397152
867	3.250673162
868	3.249770572
869	3.249220449
870	3.248496117
871	3.247429403
872	3.246794946
873	3.24616788
874	3.244976915
875	3.243186915
876	3.241764477
877	3.24000239
878	3.238021541
879	3.237977507
880	3.237332783
881	3.235613438
882	3.234829561
883	3.23152998
884	3.230102275
885	3.228980199
886	3.225947357
887	3.225399119
888	3.223100334
889	3.222294685
890	3.219342078
891	3.218402546
892	3.215996238
893	3.215834806
894	3.215694113
895	3.214983287
896	3.213679792
897	3.213009746
898	3.210892355
899	3.209923581
900	3.209101496
901	3.208661674
902	3.207622193
903	3.205828412
904	3.205190446
905	3.204648891
906	3.203744429
907	3.202122332
908	3.20132131
909	3.199832599
910	3.197577215
911	3.196269864
912	3.194372588
913	3.193239436
914	3.192072931
915	3.191674803
916	3.191457204
917	3.190571136
918	3.188173957
919	3.18747581
920	3.185520312
921	3.184236151
922	3.183958368
923	3.183918998
924	3.181811262
925	3.179830767
926	3.177448966
927	3.177317076
928	3.17630681
929	3.174235032
930	3.174170885
931	3.173921095
932	3.172064444
933	3.171268114
934	3.169383289
935	3.168677233
936	3.167664516
937	3.165762064
938	3.164472796
939	3.163917318
940	3.162579283
941	3.159891642
942	3.157557949
943	3.154362984
944	3.150387324
945	3.150329169
946	3.150183213
947	3.148157194
948	3.144015194
949	3.14379843
950	3.142880068
951	3.142202947
952	3.141330849
953	3.140697835
954	3.137054095
955	3.13617206
956	3.135265362
957	3.134071497
958	3.1324873
959	3.131045733
960	3.129557536
961	3.126889208
962	3.125805777
963	3.124094863
964	3.122520313
965	3.122478306
966	3.120388137
967	3.119581981
968	3.119190877
969	3.118063177
970	3.114165855
971	3.113891112
972	3.112572413
973	3.112228484
974	3.111324588
975	3.108857495
976	3.107550969
977	3.106068803
978	3.104031028
979	3.102797842
980	3.101406066
981	3.100480211
982	3.098333689
983	3.097120558
984	3.096330771
985	3.096162085
986	3.094337732
987	3.092260094
988	3.090392079
989	3.089348413
990	3.088290614
991	3.087412139
992	3.085474151
993	3.085117898
994	3.084458494
995	3.083204394
996	3.080872503
997	3.078992995
998	3.0778965
999	3.074887149
